severe_hospital_name,hpid,severe_myocardial_infarction_reperfusion_yn,severe_infant_intussusception_obstruction_yn,severe_adult_gi_emergency_endoscopy_yn,severe_infant_gi_emergency_endoscopy_yn,severe_adult_bronchial_emergency_endoscopy_yn,severe_infant_bronchial_emergency_endoscopy_yn,severe_low_birth_weight_infant_intensive_care_yn,severe_obstetric_delivery_yn,severe_obstetric_surgery_yn,severe_gynecologic_surgery_yn,severe_burn_specialized_treatment_yn,severe_cerebral_infarction_reperfusion_yn,severe_finger_toe_replantation_yn,severe_other_limb_replantation_yn,severe_emergency_dialysis_hd_yn,severe_emergency_dialysis_crrt_yn,severe_psychiatric_emergency_closed_ward_yn,severe_ophthalmic_emergency_surgery_yn,severe_adult_interventional_radiology_yn,severe_infant_interventional_radiology_yn,severe_er_gatekeeper_yn,severe_subarachnoid_hemorrhage_surgery_yn,severe_other_cerebral_hemorrhage_surgery_yn,severe_thoracic_aortic_emergency_yn,severe_abdominal_aortic_emergency_yn,severe_gallbladder_disease_yn,severe_biliary_tract_disease_yn,severe_nontraumatic_abdominal_emergency_surgery_yn,severe_infant_intussusception_obstruction_msg,severe_infant_gi_emergency_endoscopy_msg,severe_low_birth_weight_infant_msg,severe_infant_interventional_radiology_msg,query_sido,query_sigungu,severe_infant_bronchial_emergency_endoscopy_msg,severe_collected_at
참조은병원,A2100155,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,,,,,경기도,광주시,,2026-05-23 19:35:48
한양대학교구리병원,A2100039,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,Y,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,Y,Y,Y,,,,,경기도,구리시,,2026-05-23 19:35:48
효산의료재단지샘병원,A2100054,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,,,,,경기도,군포시,,2026-05-23 19:35:48
원광대학교산본병원,A2100048,N,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,N,Y,Y,,,,,경기도,군포시,,2026-05-23 19:35:48
의료법인우리의료재단김포우리병원,A2100053,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,Y,UNKNOWN,Y,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,Y,Y,,,,,경기도,김포시,,2026-05-23 19:35:48
의료법인인봉의료재단뉴고려병원,A2100006,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,,,,,경기도,김포시,,2026-05-23 19:35:48
부천세종병원,A2100055,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,N,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,부천시,,2026-05-23 19:35:48
가톨릭대학교부천성모병원,A2100052,Y,UNKNOWN,Y,N,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,N,Y,N,Y,Y,Y,UNKNOWN,UNKNOWN,Y,Y,Y,,,,,경기도,부천시,,2026-05-23 19:35:48
순천향대학교부속부천병원,A2100005,Y,Y,Y,N,Y,UNKNOWN,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,N,N,Y,Y,Y,Y,Y,,,,,경기도,부천시,,2026-05-23 19:35:48
의료법인대인의료재단 다니엘종합병원,A2100050,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,경기도,부천시,,2026-05-23 19:35:48
분당서울대학교병원,A2100001,Y,Y,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,성남시,,2026-05-23 19:35:48
국군수도병원,A2100258,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,경기도,성남시,,2026-05-23 19:35:48
대진의료재단분당제생병원,A2100025,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,Y,Y,,,,,경기도,성남시,,2026-05-23 19:35:48
차의과학대학교분당차병원,A2100030,Y,Y,Y,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,성남시,,2026-05-23 19:35:48
순천의료재단성남정병원,A2100016,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,,,,,경기도,성남시,,2026-05-23 19:35:48
성남시의료원,A2116806,N,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,,,,,경기도,성남시,,2026-05-23 19:35:48
성남중앙병원,A2100011,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,,,,,경기도,성남시,,2026-05-23 19:35:48
의료법인덕산의료재단수원덕산병원,A2121061,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,수원시,,2026-05-23 19:35:48
의료법인명인의료재단화홍병원,A2117135,Y,UNKNOWN,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,수원시,,2026-05-23 19:35:48
아주대학교병원,A2100002,Y,Y,Y,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,수원시,,2026-05-23 19:35:48
