dutyName,hpid,MKioskTy1,MKioskTy10,MKioskTy11,MKioskTy12,MKioskTy13,MKioskTy14,MKioskTy15,MKioskTy16,MKioskTy17,MKioskTy18,MKioskTy19,MKioskTy2,MKioskTy20,MKioskTy21,MKioskTy22,MKioskTy23,MKioskTy24,MKioskTy25,MKioskTy26,MKioskTy27,MKioskTy28,MKioskTy3,MKioskTy4,MKioskTy5,MKioskTy6,MKioskTy7,MKioskTy8,MKioskTy9,MKioskTy10Msg,MKioskTy12Msg,MKioskTy15Msg,MKioskTy27Msg,query_sido,query_sigungu,MKioskTy14Msg
의료법인인봉의료재단뉴고려병원,A2100006,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,정보미제공,Y,,,,,경기도,김포시,
남양주한양병원,A2100041,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,불가능,불가능,정보미제공,정보미제공,Y,Y,Y,,,,,경기도,남양주시,
현대병원,A2100037,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,,,,,경기도,남양주시,
엘병원,A2118188,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,경기도,남양주시,
부천세종병원,A2100055,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,불가능,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,0세이상/ 3kg 이상,,,"평일주간에만 가능/ 0세이상, 3kg 이상 가능",경기도,부천시,
가톨릭대학교부천성모병원,A2100052,Y,정보미제공,Y,불가능,정보미제공,정보미제공,정보미제공,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,Y,정보미제공,불가능,Y,불가능,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,,,36주이상 수용가능,sedation가능시 시술가능,경기도,부천시,
순천향대학교부속부천병원,A2100005,Y,Y,Y,불가능,Y,정보미제공,Y,Y,Y,Y,Y,불가능,Y,Y,Y,Y,정보미제공,정보미제공,Y,정보미제공,Y,불가능,불가능,Y,Y,Y,Y,Y,제한없음,최저연령:0세,최저체중:400g,,경기도,부천시,
의료법인대인의료재단 다니엘종합병원,A2100050,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,경기도,부천시,
분당서울대학교병원,A2100001,Y,Y,Y,정보미제공,Y,Y,Y,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,Y,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"최저 연령,체중: 제한없음,소아청소년과,영상의학과 협진","부분가능: 평일8시~17시 가능 위장관이물,급성출혈,그 외 의료진이 판단한 경우 가능.최저연령:제한없음.최저체중:2.5kg","최저 연령,체중: 제한없음","최저 연령,체중: 제한없음",경기도,성남시,"최저 연령,체중: 제한없음 중환자실 부족 시 수용 불가능"
국군수도병원,A2100258,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,경기도,성남시,
대진의료재단분당제생병원,A2100025,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,2개월이상가능,"3세 이상..부분제공:평일08:30~18:00,의료진판단하에가능","34주이상,2000g이상가능",,경기도,성남시,
차의과학대학교분당차병원,A2100030,Y,Y,Y,정보미제공,Y,정보미제공,Y,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,Y,Y,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,전연령가능,전연령가능,"37주미만, 2kg 미만",전연령가능,경기도,성남시,
순천의료재단성남정병원,A2100016,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,정보미제공,정보미제공,Y,정보미제공,Y,,,,,경기도,성남시,
성남시의료원,A2116806,불가능,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,정보미제공,Y,,,,,경기도,성남시,
성남중앙병원,A2100011,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,,,,,경기도,성남시,
의료법인덕산의료재단수원덕산병원,A2121061,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,정보미제공,Y,Y,Y,정보미제공,Y,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,수원시,
의료법인명인의료재단화홍병원,A2117135,Y,정보미제공,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,Y,Y,Y,Y,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,수원시,
아주대학교병원,A2100002,Y,Y,Y,정보미제공,Y,정보미제공,Y,Y,Y,Y,정보미제공,Y,Y,Y,Y,Y,Y,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,연령제한없음,"10세 이상, 가능","최저 체중2000g, 최저 주수 35주",연령제한없음,경기도,수원시,
경기도의료원수원병원,A2100032,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,,,,,경기도,수원시,
의료법인토마스의료재단윌스기념병원,A2100175,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,정보미제공,Y,Y,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,Y,Y,,,,,경기도,수원시,
의료법인녹산의료재단동수원병원,A2100009,Y,정보미제공,Y,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,Y,Y,정보미제공,정보미제공,Y,정보미제공,Y,"만 7세 이상 가능, 정복술 실패후 수술만 가능",,,,경기도,수원시,
가톨릭대학교성빈센트병원,A2100012,Y,정보미제공,Y,Y,Y,정보미제공,Y,Y,Y,Y,정보미제공,Y,Y,Y,Y,Y,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,Y,Y,Y,Y,Y,정복술은 6~36개월,12개월 부터 가능,재태주수 28주 이상/ 신생아중환자실 확인필요,,경기도,수원시,
의료법인석경의료재단센트럴병원,A2100027,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,Y,Y,Y,정보미제공,정보미제공,정보미제공,정보미제공,Y,정보미제공,Y,정보미제공,정보미제공,Y,정보미제공,Y,,,,,경기도,시흥시,
